dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
primary27,maps,global,M4_jet,protan,47.48618,0.23963,0.20384,0.05042,2.82742
primary27,maps,global,M5_hot,protan,21.48158,0.96598,0.80568,0.03153,1.89186
primary27,maps,global,M5b_turbo,protan,50.58489,0.25168,0.21818,0.04750,4.68751
primary27,maps,global,M6_viridis,protan,29.22469,0.97970,0.65827,0.03404,5.06305
primary27,maps,global,M6b_cividis,protan,26.38028,0.98024,0.76713,0.04106,5.17268
primary27,maps,global,DE_Cividis,protan,25.76540,0.99605,0.77020,0.04094,7.62077
primary27,maps,global,M1_intensity_slicing,deutan,54.33658,0.26440,0.38913,0.04572,1.75121
primary27,maps,global,M2_sin_three_phase,deutan,30.72230,0.94856,0.52539,0.03870,5.10130
primary27,maps,global,M4_jet,deutan,47.48618,0.23963,0.20384,0.05333,2.82742
primary27,maps,global,M5_hot,deutan,21.48158,0.96598,0.80568,0.03445,1.89186
primary27,maps,global,M5b_turbo,deutan,50.58489,0.25168,0.21818,0.05269,4.68751
primary27,maps,global,M6_viridis,deutan,29.22469,0.97970,0.65827,0.04025,5.06305
primary27,maps,global,M6b_cividis,deutan,26.38028,0.98024,0.76713,0.04104,5.17268
primary27,maps,global,DE_Cividis,deutan,25.76540,0.99605,0.77020,0.03990,7.62077
primary27,maps,shanghai,M1_intensity_slicing,protan,38.10445,0.62173,0.31202,0.01163,0.10807
primary27,maps,shanghai,M2_sin_three_phase,protan,25.86931,0.94947,0.64197,0.01221,0.40553
primary27,maps,shanghai,M4_jet,protan,31.61684,0.88719,0.59545,0.01252,0.28325
primary27,maps,shanghai,M5_hot,protan,31.80704,0.98904,0.75767,0.01195,0.23365
primary27,maps,shanghai,M5b_turbo,protan,32.73706,0.86397,0.64022,0.01249,0.40419
primary27,maps,shanghai,M6_viridis,protan,27.66567,0.98138,0.84171,0.01219,0.41210
primary27,maps,shanghai,M6b_cividis,protan,21.90155,0.99082,0.92426,0.01230,0.40719
primary27,maps,shanghai,DE_Cividis,protan,21.07520,0.99960,0.94397,0.01241,1.55477
primary27,maps,shanghai,M1_intensity_slicing,deutan,38.10445,0.62173,0.31202,0.01144,0.10807
primary27,maps,shanghai,M2_sin_three_phase,deutan,25.86931,0.94947,0.64197,0.01225,0.40553
primary27,maps,shanghai,M4_jet,deutan,31.61684,0.88719,0.59545,0.01244,0.28325
primary27,maps,shanghai,M5_hot,deutan,31.80704,0.98904,0.75767,0.01209,0.23365
primary27,maps,shanghai,M5b_turbo,deutan,32.73706,0.86397,0.64022,0.01258,0.40419
primary27,maps,shanghai,M6_viridis,deutan,27.66567,0.98138,0.84171,0.01228,0.41210
primary27,maps,shanghai,M6b_cividis,deutan,21.90155,0.99082,0.92426,0.01230,0.40719
primary27,maps,shanghai,DE_Cividis,deutan,21.07520,0.99960,0.94397,0.01249,1.55477
primary27,grayscale,ct_synthetic,M1_intensity_slicing,protan,41.60314,-0.52244,-0.12202,0.30420,4.29633
primary27,grayscale,ct_synthetic,M2_sin_three_phase,protan,30.99054,0.76550,0.03180,0.31314,20.35599
primary27,grayscale,ct_synthetic,M4_jet,protan,39.73218,-0.47216,-0.15744,0.30452,12.80763
primary27,grayscale,ct_synthetic,M5_hot,protan,27.64953,0.94327,0.40391,0.25543,8.55924
primary27,grayscale,ct_synthetic,M5b_turbo,protan,39.65741,-0.59810,-0.29313,0.30183,19.19651
primary27,grayscale,ct_synthetic,M6_viridis,protan,25.59579,0.93535,0.28894,0.21537,19.31432
primary27,grayscale,ct_synthetic,M6b_cividis,protan,16.49082,0.95155,0.52901,0.25579,19.32177
primary27,grayscale,ct_synthetic,DE_Cividis,protan,18.76764,0.98780,0.39278,0.24922,21.23158
primary27,grayscale,ct_synthetic,M1_intensity_slicing,deutan,41.60314,-0.52244,-0.12202,0.27181,4.29633
primary27,grayscale,ct_synthetic,M2_sin_three_phase,deutan,30.99054,0.76550,0.03180,0.30487,20.35599
primary27,grayscale,ct_synthetic,M4_jet,deutan,39.73218,-0.47216,-0.15744,0.27394,12.80763
primary27,grayscale,ct_synthetic,M5_hot,deutan,27.64953,0.94327,0.40391,0.22668,8.55924
primary27,grayscale,ct_synthetic,M5b_turbo,deutan,39.65741,-0.59810,-0.29313,0.28429,19.19651
primary27,grayscale,ct_synthetic,M6_viridis,deutan,25.59579,0.93535,0.28894,0.25091,19.31432
primary27,grayscale,ct_synthetic,M6b_cividis,deutan,16.49082,0.95155,0.52901,0.25290,19.32177
primary27,grayscale,ct_synthetic,DE_Cividis,deutan,18.76764,0.98780,0.39278,0.25133,21.23158
primary27,grayscale,lena_gray,M1_intensity_slicing,protan,40.90168,0.32534,0.18507,0.08220,4.10063
primary27,grayscale,lena_gray,M2_sin_three_phase,protan,35.01303,0.36711,0.20247,0.07353,20.72694
primary27,grayscale,lena_gray,M4_jet,protan,38.33748,0.60012,0.24633,0.08592,14.15114
primary27,grayscale,lena_gray,M5_hot,protan,30.50453,0.95726,0.37841,0.06616,8.74455
primary27,grayscale,lena_gray,M5b_turbo,protan,39.62574,0.52240,0.24070,0.07991,19.61059
primary27,grayscale,lena_gray,M6_viridis,protan,22.92302,0.90279,0.52207,0.06998,17.80735
primary27,grayscale,lena_gray,M6b_cividis,protan,11.20099,0.96490,0.82451,0.06665,18.31990
primary27,grayscale,lena_gray,DE_Cividis,protan,11.79882,0.99527,0.70465,0.06849,21.26495
primary27,grayscale,lena_gray,M1_intensity_slicing,deutan,40.90168,0.32534,0.18507,0.07781,4.10063
primary27,grayscale,lena_gray,M2_sin_three_phase,deutan,35.01303,0.36711,0.20247,0.08142,20.72694
primary27,grayscale,lena_gray,M4_jet,deutan,38.33748,0.60012,0.24633,0.07912,14.15114
primary27,grayscale,lena_gray,M5_hot,deutan,30.50453,0.95726,0.37841,0.06666,8.74455
primary27,grayscale,lena_gray,M5b_turbo,deutan,39.62574,0.52240,0.24070,0.08343,19.61059
primary27,grayscale,lena_gray,M6_viridis,deutan,22.92302,0.90279,0.52207,0.06799,17.80735
primary27,grayscale,lena_gray,M6b_cividis,deutan,11.20099,0.96490,0.82451,0.06701,18.31990
primary27,grayscale,lena_gray,DE_Cividis,deutan,11.79882,0.99527,0.70465,0.07041,21.26495
primary27,grayscale,mri_synthetic,M1_intensity_slicing,protan,38.22249,0.24298,0.28182,0.02985,3.50102
primary27,grayscale,mri_synthetic,M2_sin_three_phase,protan,56.58880,0.15379,0.12651,0.05999,15.33969
primary27,grayscale,mri_synthetic,M4_jet,protan,36.71890,0.49187,0.31980,0.04772,10.49327
primary27,grayscale,mri_synthetic,M5_hot,protan,19.36923,0.84681,0.39190,0.06383,6.29649
primary27,grayscale,mri_synthetic,M5b_turbo,protan,33.89941,0.44900,0.19764,0.07437,14.89113
primary27,grayscale,mri_synthetic,M6_viridis,protan,23.16855,0.55056,0.46003,0.09896,12.60959
primary27,grayscale,mri_synthetic,M6b_cividis,protan,13.48869,0.59284,0.61751,0.11617,12.66047
primary27,grayscale,mri_synthetic,DE_Cividis,protan,13.05639,0.70463,0.63134,0.12240,14.50876
primary27,grayscale,mri_synthetic,M1_intensity_slicing,deutan,38.22249,0.24298,0.28182,0.03759,3.50102
primary27,grayscale,mri_synthetic,M2_sin_three_phase,deutan,56.58880,0.15379,0.12651,0.06842,15.33969
primary27,grayscale,mri_synthetic,M4_jet,deutan,36.71890,0.49187,0.31980,0.04589,10.49327
primary27,grayscale,mri_synthetic,M5_hot,deutan,19.36923,0.84681,0.39190,0.07882,6.29649
primary27,grayscale,mri_synthetic,M5b_turbo,deutan,33.89941,0.44900,0.19764,0.07335,14.89113
primary27,grayscale,mri_synthetic,M6_viridis,deutan,23.16855,0.55056,0.46003,0.10681,12.60959
primary27,grayscale,mri_synthetic,M6b_cividis,deutan,13.48869,0.59284,0.61751,0.10968,12.66047
primary27,grayscale,mri_synthetic,DE_Cividis,deutan,13.05639,0.70463,0.63134,0.11479,14.50876
primary27,grayscale,rainfall_synthetic,M1_intensity_slicing,protan,39.24965,0.47990,0.26343,0.04373,4.66379
primary27,grayscale,rainfall_synthetic,M2_sin_three_phase,protan,42.72114,0.47579,0.27152,0.23546,21.40796
primary27,grayscale,rainfall_synthetic,M4_jet,protan,37.53551,0.70672,0.26907,0.25014,13.46304
primary27,grayscale,rainfall_synthetic,M5_hot,protan,27.88180,0.96182,0.33575,0.28997,9.01374
primary27,grayscale,rainfall_synthetic,M5b_turbo,protan,38.71446,0.57537,0.35646,0.32108,20.33106
primary27,grayscale,rainfall_synthetic,M6_viridis,protan,23.36240,0.85844,0.65125,0.46468,18.44984
primary27,grayscale,rainfall_synthetic,M6b_cividis,protan,13.71725,0.90399,0.79711,0.44268,18.48550
primary27,grayscale,rainfall_synthetic,DE_Cividis,protan,13.15615,0.96924,0.83527,0.42975,20.27981
primary27,grayscale,rainfall_synthetic,M1_intensity_slicing,deutan,39.24965,0.47990,0.26343,0.04405,4.66379
primary27,grayscale,rainfall_synthetic,M2_sin_three_phase,deutan,42.72114,0.47579,0.27152,0.23466,21.40796
primary27,grayscale,rainfall_synthetic,M4_jet,deutan,37.53551,0.70672,0.26907,0.23365,13.46304
primary27,grayscale,rainfall_synthetic,M5_hot,deutan,27.88180,0.96182,0.33575,0.34597,9.01374
primary27,grayscale,rainfall_synthetic,M5b_turbo,deutan,38.71446,0.57537,0.35646,0.32901,20.33106
primary27,grayscale,rainfall_synthetic,M6_viridis,deutan,23.36240,0.85844,0.65125,0.44971,18.44984
primary27,grayscale,rainfall_synthetic,M6b_cividis,deutan,13.71725,0.90399,0.79711,0.44966,18.48550
primary27,grayscale,rainfall_synthetic,DE_Cividis,deutan,13.15615,0.96924,0.83527,0.41826,20.27981
primary27,grayscale,satellite_synthetic,M1_intensity_slicing,protan,41.16125,0.16853,0.13901,0.08502,3.95268
primary27,grayscale,satellite_synthetic,M2_sin_three_phase,protan,33.61727,0.46481,0.15342,0.07311,20.46378
primary27,grayscale,satellite_synthetic,M4_jet,protan,38.89532,0.51649,0.17693,0.08658,14.52198
primary27,grayscale,satellite_synthetic,M5_hot,protan,30.75344,0.94096,0.34133,0.09095,8.41886
primary27,grayscale,satellite_synthetic,M5b_turbo,protan,38.96621,0.38989,0.17109,0.07566,19.26725
primary27,grayscale,satellite_synthetic,M6_viridis,protan,22.68379,0.90067,0.48179,0.13029,17.53382
primary27,grayscale,satellite_synthetic,M6b_cividis,protan,9.98604,0.96452,0.80786,0.11691,18.16736
primary27,grayscale,satellite_synthetic,DE_Cividis,protan,9.84111,0.99860,0.85735,0.10892,20.20232
primary27,grayscale,satellite_synthetic,M1_intensity_slicing,deutan,41.16125,0.16853,0.13901,0.09132,3.95268
primary27,grayscale,satellite_synthetic,M2_sin_three_phase,deutan,33.61727,0.46481,0.15342,0.08408,20.46378
primary27,grayscale,satellite_synthetic,M4_jet,deutan,38.89532,0.51649,0.17693,0.10688,14.52198
primary27,grayscale,satellite_synthetic,M5_hot,deutan,30.75344,0.94096,0.34133,0.09682,8.41886
primary27,grayscale,satellite_synthetic,M5b_turbo,deutan,38.96621,0.38989,0.17109,0.07984,19.26725
primary27,grayscale,satellite_synthetic,M6_viridis,deutan,22.68379,0.90067,0.48179,0.11941,17.53382
primary27,grayscale,satellite_synthetic,M6b_cividis,deutan,9.98604,0.96452,0.80786,0.11670,18.16736
primary27,grayscale,satellite_synthetic,DE_Cividis,deutan,9.84111,0.99860,0.85735,0.10618,20.20232
primary27,grayscale,sem_synthetic,M1_intensity_slicing,protan,35.47384,0.46248,0.10849,0.29175,4.10124
primary27,grayscale,sem_synthetic,M2_sin_three_phase,protan,53.16877,-0.28498,0.01141,0.19246,17.47065
primary27,grayscale,sem_synthetic,M4_jet,protan,36.92782,0.79652,0.19808,0.19122,9.71734
primary27,grayscale,sem_synthetic,M5_hot,protan,25.71121,0.97913,0.29334,0.18112,7.29757
primary27,grayscale,sem_synthetic,M5b_turbo,protan,38.61978,0.48941,0.25542,0.21060,16.17501
primary27,grayscale,sem_synthetic,M6_viridis,protan,25.11241,0.80811,0.40565,0.18059,15.26940
primary27,grayscale,sem_synthetic,M6b_cividis,protan,18.20579,0.90296,0.63491,0.18096,14.82134
primary27,grayscale,sem_synthetic,DE_Cividis,protan,18.29016,0.99214,0.56664,0.17531,17.52268
primary27,grayscale,sem_synthetic,M1_intensity_slicing,deutan,35.47384,0.46248,0.10849,0.26723,4.10124
primary27,grayscale,sem_synthetic,M2_sin_three_phase,deutan,53.16877,-0.28498,0.01141,0.16023,17.47065
primary27,grayscale,sem_synthetic,M4_jet,deutan,36.92782,0.79652,0.19808,0.18158,9.71734
primary27,grayscale,sem_synthetic,M5_hot,deutan,25.71121,0.97913,0.29334,0.19280,7.29757
primary27,grayscale,sem_synthetic,M5b_turbo,deutan,38.61978,0.48941,0.25542,0.20302,16.17501
primary27,grayscale,sem_synthetic,M6_viridis,deutan,25.11241,0.80811,0.40565,0.17984,15.26940
primary27,grayscale,sem_synthetic,M6b_cividis,deutan,18.20579,0.90296,0.63491,0.18249,14.82134
primary27,grayscale,sem_synthetic,DE_Cividis,deutan,18.29016,0.99214,0.56664,0.17450,17.52268
primary27,grayscale,thermal_synthetic,M1_intensity_slicing,protan,41.08673,0.01485,-0.01554,0.16727,4.61522
primary27,grayscale,thermal_synthetic,M2_sin_three_phase,protan,34.39719,0.16596,0.05231,0.17119,21.40521
primary27,grayscale,thermal_synthetic,M4_jet,protan,37.44547,0.16422,0.04516,0.19779,13.29255
primary27,grayscale,thermal_synthetic,M5_hot,protan,30.33455,0.93577,0.26873,0.18615,9.33677
primary27,grayscale,thermal_synthetic,M5b_turbo,protan,39.73368,0.09301,-0.11764,0.18659,20.48099
primary27,grayscale,thermal_synthetic,M6_viridis,protan,23.54851,0.88404,0.31568,0.22164,19.16309
primary27,grayscale,thermal_synthetic,M6b_cividis,protan,14.06894,0.94867,0.65247,0.24044,19.20165
primary27,grayscale,thermal_synthetic,DE_Cividis,protan,14.21897,0.98904,0.46767,0.23890,22.30765
primary27,grayscale,thermal_synthetic,M1_intensity_slicing,deutan,41.08673,0.01485,-0.01554,0.15698,4.61522
primary27,grayscale,thermal_synthetic,M2_sin_three_phase,deutan,34.39719,0.16596,0.05231,0.16080,21.40521
primary27,grayscale,thermal_synthetic,M4_jet,deutan,37.44547,0.16422,0.04516,0.17573,13.29255
primary27,grayscale,thermal_synthetic,M5_hot,deutan,30.33455,0.93577,0.26873,0.21341,9.33677
primary27,grayscale,thermal_synthetic,M5b_turbo,deutan,39.73368,0.09301,-0.11764,0.17045,20.48099
primary27,grayscale,thermal_synthetic,M6_viridis,deutan,23.54851,0.88404,0.31568,0.23971,19.16309
primary27,grayscale,thermal_synthetic,M6b_cividis,deutan,14.06894,0.94867,0.65247,0.24336,19.20165
primary27,grayscale,thermal_synthetic,DE_Cividis,deutan,14.21897,0.98904,0.46767,0.23545,22.30765
primary27,grayscale,weld_synthetic,M1_intensity_slicing,protan,35.35187,0.19573,0.20696,0.02659,2.50676
primary27,grayscale,weld_synthetic,M2_sin_three_phase,protan,27.25175,0.65716,0.11245,0.09197,15.67770
primary27,grayscale,weld_synthetic,M4_jet,protan,33.39359,-0.09363,0.10959,0.12231,7.39767
primary27,grayscale,weld_synthetic,M5_hot,protan,31.85352,0.94297,0.37489,0.06759,6.38028
primary27,grayscale,weld_synthetic,M5b_turbo,protan,32.90516,-0.04889,0.09020,0.07961,14.07249
primary27,grayscale,weld_synthetic,M6_viridis,protan,24.34489,0.95309,0.50747,0.04912,14.65645
primary27,grayscale,weld_synthetic,M6b_cividis,protan,16.04983,0.97004,0.78334,0.04669,13.61024
primary27,grayscale,weld_synthetic,DE_Cividis,protan,15.55250,0.98989,0.52260,0.05147,18.22979
primary27,grayscale,weld_synthetic,M1_intensity_slicing,deutan,35.35187,0.19573,0.20696,0.02186,2.50676
primary27,grayscale,weld_synthetic,M2_sin_three_phase,deutan,27.25175,0.65716,0.11245,0.14722,15.67770
primary27,grayscale,weld_synthetic,M4_jet,deutan,33.39359,-0.09363,0.10959,0.15465,7.39767
primary27,grayscale,weld_synthetic,M5_hot,deutan,31.85352,0.94297,0.37489,0.07337,6.38028
primary27,grayscale,weld_synthetic,M5b_turbo,deutan,32.90516,-0.04889,0.09020,0.08869,14.07249
primary27,grayscale,weld_synthetic,M6_viridis,deutan,24.34489,0.95309,0.50747,0.04710,14.65645
primary27,grayscale,weld_synthetic,M6b_cividis,deutan,16.04983,0.97004,0.78334,0.04691,13.61024
primary27,grayscale,weld_synthetic,DE_Cividis,deutan,15.55250,0.98989,0.52260,0.05383,18.22979
primary27,grayscale,xray_synthetic,M1_intensity_slicing,protan,39.82786,0.26522,0.22950,0.06033,3.03051
primary27,grayscale,xray_synthetic,M2_sin_three_phase,protan,33.25499,0.70361,0.21863,0.04803,18.76904
primary27,grayscale,xray_synthetic,M4_jet,protan,38.60208,0.63476,0.25503,0.02992,13.78984
primary27,grayscale,xray_synthetic,M5_hot,protan,30.97471,0.94581,0.41500,0.06130,7.19822
primary27,grayscale,xray_synthetic,M5b_turbo,protan,37.64701,0.51423,0.29200,0.03940,17.48433
primary27,grayscale,xray_synthetic,M6_viridis,protan,22.78844,0.92831,0.58731,0.06433,15.96665
primary27,grayscale,xray_synthetic,M6b_cividis,protan,7.99910,0.97652,0.87705,0.06429,16.34928
primary27,grayscale,xray_synthetic,DE_Cividis,protan,8.22162,0.99189,0.67441,0.06736,19.34244
primary27,grayscale,xray_synthetic,M1_intensity_slicing,deutan,39.82786,0.26522,0.22950,0.06955,3.03051
primary27,grayscale,xray_synthetic,M2_sin_three_phase,deutan,33.25499,0.70361,0.21863,0.05916,18.76904
primary27,grayscale,xray_synthetic,M4_jet,deutan,38.60208,0.63476,0.25503,0.02394,13.78984
primary27,grayscale,xray_synthetic,M5_hot,deutan,30.97471,0.94581,0.41500,0.06002,7.19822
primary27,grayscale,xray_synthetic,M5b_turbo,deutan,37.64701,0.51423,0.29200,0.03622,17.48433
primary27,grayscale,xray_synthetic,M6_viridis,deutan,22.78844,0.92831,0.58731,0.06519,15.96665
primary27,grayscale,xray_synthetic,M6b_cividis,deutan,7.99910,0.97652,0.87705,0.06425,16.34928
primary27,grayscale,xray_synthetic,DE_Cividis,deutan,8.22162,0.99189,0.67441,0.06916,19.34244
external_kodak24,kodak-extra,kodim01,M1_intensity_slicing,protan,43.15124,0.40103,0.06478,0.10450,3.67651
external_kodak24,kodak-extra,kodim01,M2_sin_three_phase,protan,35.91247,0.02563,0.14785,0.09142,19.57773
external_kodak24,kodak-extra,kodim01,M4_jet,protan,39.97849,0.76252,0.17565,0.10369,13.90951
external_kodak24,kodak-extra,kodim01,M5_hot,protan,30.66449,0.94766,0.31364,0.12282,8.09401
external_kodak24,kodak-extra,kodim01,M5b_turbo,protan,41.87929,0.63118,0.09937,0.08615,18.88372
external_kodak24,kodak-extra,kodim01,M6_viridis,protan,21.65525,0.83702,0.36866,0.12565,16.04449
external_kodak24,kodak-extra,kodim01,M6b_cividis,protan,9.00707,0.95292,0.78439,0.12094,17.09572
external_kodak24,kodak-extra,kodim01,DE_Cividis,protan,12.27310,0.99088,0.54405,0.12898,21.05344
external_kodak24,kodak-extra,kodim01,M1_intensity_slicing,deutan,43.15124,0.40103,0.06478,0.10640,3.67651
external_kodak24,kodak-extra,kodim01,M2_sin_three_phase,deutan,35.91247,0.02563,0.14785,0.12427,19.57773
external_kodak24,kodak-extra,kodim01,M4_jet,deutan,39.97849,0.76252,0.17565,0.10119,13.90951
external_kodak24,kodak-extra,kodim01,M5_hot,deutan,30.66449,0.94766,0.31364,0.10540,8.09401
external_kodak24,kodak-extra,kodim01,M5b_turbo,deutan,41.87929,0.63118,0.09937,0.08367,18.88372
external_kodak24,kodak-extra,kodim01,M6_viridis,deutan,21.65525,0.83702,0.36866,0.12362,16.04449
external_kodak24,kodak-extra,kodim01,M6b_cividis,deutan,9.00707,0.95292,0.78439,0.12057,17.09572
external_kodak24,kodak-extra,kodim01,DE_Cividis,deutan,12.27310,0.99088,0.54405,0.13549,21.05344
external_kodak24,kodak-extra,kodim02,M1_intensity_slicing,protan,52.04561,0.41070,0.20656,0.05234,1.35221
external_kodak24,kodak-extra,kodim02,M2_sin_three_phase,protan,35.32645,0.16542,0.27816,0.03478,15.76316
external_kodak24,kodak-extra,kodim02,M4_jet,protan,42.87246,0.71807,0.23040,0.09125,7.87008
external_kodak24,kodak-extra,kodim02,M5_hot,protan,31.37707,0.97223,0.19125,0.03081,6.02054
external_kodak24,kodak-extra,kodim02,M5b_turbo,protan,47.89332,0.75459,0.30428,0.05092,14.81839
external_kodak24,kodak-extra,kodim02,M6_viridis,protan,19.19105,0.91290,0.65476,0.04131,12.06545
external_kodak24,kodak-extra,kodim02,M6b_cividis,protan,10.84152,0.96811,0.87977,0.03420,12.28639
external_kodak24,kodak-extra,kodim02,DE_Cividis,protan,10.70617,0.99477,0.77646,0.03827,15.92707
external_kodak24,kodak-extra,kodim02,M1_intensity_slicing,deutan,52.04561,0.41070,0.20656,0.05190,1.35221
external_kodak24,kodak-extra,kodim02,M2_sin_three_phase,deutan,35.32645,0.16542,0.27816,0.03558,15.76316
external_kodak24,kodak-extra,kodim02,M4_jet,deutan,42.87246,0.71807,0.23040,0.09024,7.87008
external_kodak24,kodak-extra,kodim02,M5_hot,deutan,31.37707,0.97223,0.19125,0.04326,6.02054
external_kodak24,kodak-extra,kodim02,M5b_turbo,deutan,47.89332,0.75459,0.30428,0.05652,14.81839
external_kodak24,kodak-extra,kodim02,M6_viridis,deutan,19.19105,0.91290,0.65476,0.03550,12.06545
external_kodak24,kodak-extra,kodim02,M6b_cividis,deutan,10.84152,0.96811,0.87977,0.03435,12.28639
external_kodak24,kodak-extra,kodim02,DE_Cividis,deutan,10.70617,0.99477,0.77646,0.04066,15.92707
external_kodak24,kodak-extra,kodim03,M1_intensity_slicing,protan,44.85488,0.45156,0.23423,0.06334,3.64766
external_kodak24,kodak-extra,kodim03,M2_sin_three_phase,protan,35.53801,0.50773,0.32663,0.04124,19.64237
external_kodak24,kodak-extra,kodim03,M4_jet,protan,40.60955,0.73863,0.31435,0.04720,13.84642
external_kodak24,kodak-extra,kodim03,M5_hot,protan,30.82600,0.96495,0.30468,0.04618,8.32458
external_kodak24,kodak-extra,kodim03,M5b_turbo,protan,43.73623,0.65885,0.36026,0.04413,19.29457
external_kodak24,kodak-extra,kodim03,M6_viridis,protan,21.17270,0.92140,0.64787,0.05260,16.21349
external_kodak24,kodak-extra,kodim03,M6b_cividis,protan,9.30969,0.97121,0.87906,0.04552,17.32879
external_kodak24,kodak-extra,kodim03,DE_Cividis,protan,9.87463,0.99588,0.78833,0.04848,20.42828
external_kodak24,kodak-extra,kodim03,M1_intensity_slicing,deutan,44.85488,0.45156,0.23423,0.06625,3.64766
external_kodak24,kodak-extra,kodim03,M2_sin_three_phase,deutan,35.53801,0.50773,0.32663,0.04727,19.64237
external_kodak24,kodak-extra,kodim03,M4_jet,deutan,40.60955,0.73863,0.31435,0.04290,13.84642
external_kodak24,kodak-extra,kodim03,M5_hot,deutan,30.82600,0.96495,0.30468,0.04733,8.32458
external_kodak24,kodak-extra,kodim03,M5b_turbo,deutan,43.73623,0.65885,0.36026,0.04559,19.29457
external_kodak24,kodak-extra,kodim03,M6_viridis,deutan,21.17270,0.92140,0.64787,0.04720,16.21349
external_kodak24,kodak-extra,kodim03,M6b_cividis,deutan,9.30969,0.97121,0.87906,0.04585,17.32879
external_kodak24,kodak-extra,kodim03,DE_Cividis,deutan,9.87463,0.99588,0.78833,0.04998,20.42828
external_kodak24,kodak-extra,kodim04,M1_intensity_slicing,protan,45.30443,0.35231,0.18185,0.08660,3.45414
external_kodak24,kodak-extra,kodim04,M2_sin_three_phase,protan,36.00630,0.15524,0.20018,0.05153,19.81283
external_kodak24,kodak-extra,kodim04,M4_jet,protan,40.47358,0.70876,0.25865,0.08822,13.26052
external_kodak24,kodak-extra,kodim04,M5_hot,protan,30.72244,0.96346,0.28636,0.04564,8.28110
external_kodak24,kodak-extra,kodim04,M5b_turbo,protan,44.06385,0.68513,0.25057,0.05827,19.27686
external_kodak24,kodak-extra,kodim04,M6_viridis,protan,21.06775,0.89124,0.55642,0.05448,16.28077
external_kodak24,kodak-extra,kodim04,M6b_cividis,protan,9.64484,0.96225,0.84839,0.04651,17.22471
external_kodak24,kodak-extra,kodim04,DE_Cividis,protan,10.09267,0.99477,0.72647,0.04979,20.52752
external_kodak24,kodak-extra,kodim04,M1_intensity_slicing,deutan,45.30443,0.35231,0.18185,0.08739,3.45414
external_kodak24,kodak-extra,kodim04,M2_sin_three_phase,deutan,36.00630,0.15524,0.20018,0.05655,19.81283
external_kodak24,kodak-extra,kodim04,M4_jet,deutan,40.47358,0.70876,0.25865,0.08442,13.26052
external_kodak24,kodak-extra,kodim04,M5_hot,deutan,30.72244,0.96346,0.28636,0.05162,8.28110
external_kodak24,kodak-extra,kodim04,M5b_turbo,deutan,44.06385,0.68513,0.25057,0.06373,19.27686
external_kodak24,kodak-extra,kodim04,M6_viridis,deutan,21.06775,0.89124,0.55642,0.04792,16.28077
external_kodak24,kodak-extra,kodim04,M6b_cividis,deutan,9.64484,0.96225,0.84839,0.04659,17.22471
external_kodak24,kodak-extra,kodim04,DE_Cividis,deutan,10.09267,0.99477,0.72647,0.05271,20.52752
external_kodak24,kodak-extra,kodim05,M1_intensity_slicing,protan,43.89114,0.32743,0.07879,0.20150,3.92569
external_kodak24,kodak-extra,kodim05,M2_sin_three_phase,protan,40.61291,-0.29889,0.06708,0.13627,20.51712
external_kodak24,kodak-extra,kodim05,M4_jet,protan,39.93638,0.63551,0.15305,0.20604,12.23743
external_kodak24,kodak-extra,kodim05,M5_hot,protan,29.26802,0.96444,0.26122,0.10628,8.51518
external_kodak24,kodak-extra,kodim05,M5b_turbo,protan,43.66870,0.56671,0.09257,0.15676,19.59521
external_kodak24,kodak-extra,kodim05,M6_viridis,protan,21.97273,0.83807,0.36758,0.12272,17.45086
external_kodak24,kodak-extra,kodim05,M6b_cividis,protan,13.12502,0.93780,0.71281,0.10599,17.54670
external_kodak24,kodak-extra,kodim05,DE_Cividis,protan,14.15586,0.99208,0.58094,0.11659,20.74358
external_kodak24,kodak-extra,kodim05,M1_intensity_slicing,deutan,43.89114,0.32743,0.07879,0.19618,3.92569
external_kodak24,kodak-extra,kodim05,M2_sin_three_phase,deutan,40.61291,-0.29889,0.06708,0.12416,20.51712
external_kodak24,kodak-extra,kodim05,M4_jet,deutan,39.93638,0.63551,0.15305,0.20152,12.23743
external_kodak24,kodak-extra,kodim05,M5_hot,deutan,29.26802,0.96444,0.26122,0.12057,8.51518
external_kodak24,kodak-extra,kodim05,M5b_turbo,deutan,43.66870,0.56671,0.09257,0.15888,19.59521
external_kodak24,kodak-extra,kodim05,M6_viridis,deutan,21.97273,0.83807,0.36758,0.10800,17.45086
external_kodak24,kodak-extra,kodim05,M6b_cividis,deutan,13.12502,0.93780,0.71281,0.10694,17.54670
external_kodak24,kodak-extra,kodim05,DE_Cividis,deutan,14.15586,0.99208,0.58094,0.12224,20.74358
external_kodak24,kodak-extra,kodim06,M1_intensity_slicing,protan,46.66934,0.21408,0.12504,0.08690,4.75105
external_kodak24,kodak-extra,kodim06,M2_sin_three_phase,protan,33.19336,0.25925,0.18994,0.08542,20.92858
external_kodak24,kodak-extra,kodim06,M4_jet,protan,42.01361,0.54903,0.15629,0.09512,14.00800
external_kodak24,kodak-extra,kodim06,M5_hot,protan,29.08097,0.95414,0.39095,0.08897,9.13700
external_kodak24,kodak-extra,kodim06,M5b_turbo,protan,44.05083,0.49758,0.13956,0.07327,19.81644
